mode,interval,activity,workers
waes,1,1,1.0
waes,1,6,0.0
waes,1,7,7.0
waes,1,8,0.0
waes,2,1,10.0
waes,2,6,0.0
waes,2,7,1.0
waes,2,8,0.0
waes,3,1,2.0
waes,3,6,0.0
waes,3,7,12.0
waes,3,8,0.0
waes,4,1,3.0
waes,4,6,0.0
waes,4,7,4.0
waes,4,8,0.0
waes,5,1,6.0
waes,5,6,3.0
waes,5,7,0.0
waes,5,8,6.0
waes,6,1,6.0
waes,6,6,3.0
waes,6,7,0.0
waes,6,8,5.0
waes,7,1,13.0
waes,7,6,2.0
waes,7,7,0.0
waes,7,8,3.0
waes,8,1,15.0
waes,8,6,1.0
waes,8,7,0.0
waes,8,8,2.0
waes,9,1,13.0
waes,9,6,0.0
waes,9,7,0.0
waes,9,8,0.0
waes,10,1,5.0
waes,10,6,0.0
waes,10,7,0.0
waes,10,8,0.0
waes,11,1,3.0
waes,11,6,0.0
waes,11,7,0.0
waes,11,8,0.0
waes,12,1,0.0
waes,12,6,0.0
waes,12,7,0.0
waes,12,8,0.0
waes,13,1,0.0
waes,13,6,0.0
waes,13,7,0.0
waes,13,8,0.0
waes,14,1,0.0
waes,14,6,0.0
waes,14,7,0.0
waes,14,8,0.0
